,price,listing_title,listing_subtitle,name,sqft,bedrooms,bathrooms,address,price_per_sqft,listing_tags,listings_desc,developer,property_title_type,furnishing,built_year,listed_on,tenure,property_type,floor_lv,psf_det,floor_size_det,num_units,facilities,url
605,"1,830,000",bandar sungai long,,bandar sungai long,7000,7,8,"taman desa permai, Bandar Sungai Long, Kajang, Selangor",261.43,Bungalow House,"
Description
Bandar sungai long
                                    ####### Price Negotiable#######
          ####### Price Negotiable#######

Call Caleb  0126535713 
  ( We Accept Credit Card For Booking/Downpayment )
Call Andy   0182808688 
  ( We Accept Credit Card For Booking/Downpayment )
Call Andy   0182808688 
  ( We Accept Credit Card For Booking/Downpayment )

Location : Taman Desa Permai
House Type : 3 Storey Bungalow House
Land Area : 8904sf 
Built Up :7000sf
Rooms :6+1 Bedroom, 8 Bathroom
Tenure :Freehold
Direction :West

BELOW MARKET , Urgent Sale ( We Accept Credit Card For Booking/Downpayment )

LIMITED UNIT
CALL TO BELIEVE
LIMITED UNIT



Interest please ( call/whatsapp/wechat )
Caleb (012-6535713 
) 
Andy   0182808688 
  

Thank you.
                                    Read More
",,,Partially Furnished,N/A,1 day ago,Freehold,Bungalow House For Sale,,RM 261.43 psf,8904 sqft,,"Air-Conditioning, Balcony, Cooker Hob/Hood, Corner Unit, Dining Room Furniture, Living Room Furniture, Washing Machine, Water Heater",https://www.propertyguru.com.my/property-listing/bandar-sungai-long-for-sale-by-caleb-35601291#contact-agent
606,"1,180,000",Klang,,Klang,2600,6,4,"taman sejati klang ,sentosa klang ,selangor, Klang, Selangor",453.85,2-storey Terraced House,"
Description
Double Storey Corner Semi D House Taman Sejati Klang For Sale
                                    #Taman Sejati Klang

#2 sty Corner Semi D House
-50 X 80
-5+1 bedrooms
-4 Bathroom
-Tenanted
-Freehold
-Good for Investment
-Renovated
Well maintained

More info or viewing pls WhatsApp
Apple 0183579699 

                                    Read More
",,Individual,Partially Furnished,N/A,6 days ago,Freehold,2-storey Terraced House For Sale,,RM 453.85 psf,2600 sqft,,,https://www.propertyguru.com.my/property-listing/klang-for-sale-by-apple-chia-36347419
607,"400,000",Cheras Freehold Fully Furnished Condo,,Cheras Freehold Fully Furnished Condo,1100,3,2,"Batu 9th Cheras, Cheras, Selangor",363.64,Condominium,"
Description
Direct Link To MRT, Shopping Mall and Commercial Centre
                                    Spacious Luxury Condominium
Best for Ownstay and Investment
Freehold Mixed Development
Next to Grade A Office Tower, shopping mall and MRT

2 Room to 4 Room available
Up to 1300 Sqft
2022 Best Own Stay Project !
Monthly from RM1600

- Zero Downpayment !
- Up to100k cashback for bumi !
- Quality Developer !
- FREE Furniture

Amenities + Accessibility:
- 400m to MRT Taman Suntex with link bridge
- Near to NSK, collage, secondary and primary school
- 15 min to KLCC
- 7 station to TRX
- 8 station to Pavilion Bukit Bintang
- Exact Cheras address
- 50++ Facilities

Show House Ready
Kitty 0165300863 

                                    Read More
",,Strata,Fully Furnished,N/A,6 days ago,Freehold,Condominium For Sale,,RM 363.64 psf,1100 sqft,,"Corner Unit, Park / Greenery View, Water Heater, Barbeque Area, Covered car park, Clubhouse, Gymnasium room, Jacuzzi, Playground, 24 hours security, Swimming pool, Tennis courts, Wading pool",https://www.propertyguru.com.my/property-listing/cheras-freehold-fully-furnished-condo-for-sale-by-kitty-kong-36236592#contact-agent
608,"440,000",Ridzuan Condominium,,Ridzuan Condominium,1468,3,3,"- Jalan PJS 10/11, Taman Sri Subang, Bandar Sunway, Subang Jaya, Selangor",299.73,Condominium,"
Description
Bandar Sunway fully furnished with huge space for family
                                    FOR SALE - RIdzuan Condominium, Bandar Sunway
======================
ASKING PRICE: RM460K
======================

DETAILS:
Type : Condominium
Tenure : Leasehold Non Bumi
Build-up : 1468 sqft
No of Bedroom: 3
No of Bathroom: 3
Furnish : Fully furnished 

======================
ASKING PRICE: RM460K
======================  
 0133135488 

Ahmad Farhi
REN 55467
Real Estate Negotiator
Great Casa Realty
                                    Read More
",,,Fully Furnished,"January, 1999",1 day ago,Leasehold,Condominium For Sale,Middle Floor,RM 299.73 psf,1468 sqft,-,"Air-Conditioning, Balcony, Bed, Cooker Hob/Hood, Corner Unit, Dining Room Furniture, Fridge, Living Room Furniture, Water Heater, Badminton hall, Barbeque Area, Covered car park, Gymnasium room, Mini-Mart, Playground, 24 hours security, Squash court, Swimming pool, Tennis courts",https://www.propertyguru.com.my/property-listing/ridzuan-condominium-for-sale-by-ahmad-farhi-35314882#contact-agent
609,"2,000,000",Freehold SemiD Damansara Area Extra RM100k offer,,Freehold SemiD Damansara Area Extra RM100k offer,4650,6,7,"Kota Damansara, Damansara, Selangor",430.11,Semi-Detached House,"
Description
Freehold good property
                                    Damansara Semi-D, Freehold
size：40x80
Built up：4540~4675sqft.
Bedrooms：4＋1～5＋1
Bathrooms：7
Free Spa legal /loan legal
Free Disbursement
Extra RM100k offer
Price：RM2.2m-Rm100k=RM2.1m+
                                    Read More
",,,Unfurnished,2016,6 days ago,Freehold,Semi-Detached House For Sale,,RM 430.11 psf,4650 sqft,,"Balcony, 24 hours security",https://www.propertyguru.com.my/property-listing/freehold-semid-damansara-area-extra-rm100k-offer-for-sale-by-vicki-ang-35449385
610,"938,690","Semi D Kluster 3 tgkat Sungai Merab, berdekatan Putrajaya",,"Semi D Kluster 3 tgkat Sungai Merab, berdekatan Putrajaya",2562,6,6,"Kajang, Selangor",366.39,Cluster House,"
Description
Newly completed, ready to move in, free mot & spa
                                    Semi D Kluster 3 Tingkat Sg Merab, Berdekatan Putrajaya
Newly Completed, ready to move in

Harga bermula dari RM938,690

*BOOKING RM1000
*PERCUMA YURAN GUAMAN S&P
*PERCUMA MOT

DETAIL:
3 Tingkat Semi D Kluster
6 bilik, 6 bilik air
Build up 2,562 sqft
Keluasan tanah 30 x 60 sqft (tanah tepi 10 kaki)

Freehold
Malay reserved

Infra lengkap
Kawasan Berpagar/Sekuriti

* Tiles toilet penuh dinding
* Laminated flooring
* 9 nos aircond point with piping
* Kepala paip & shower berkualiti
* Tiles Berkualiti
* Pagar bata 5 kaki

* Kawasan aman damai di Sungai Merab
* Berdekatan dengan Bandar baru Bangi, Kajang, Putrajaya, Cyberjaya
* Berdekatan dengan Hospital Serdang

Contact:
Liza Khalid 
REN 39506
LANDSWORTH PROPERTIES 011-13168710 


Fb: Liza Khalid Properties
Ig: lizakhalidproperties
Telegram: https://t.me/lizakhalidlisting
                                    Read More
",,,,N/A,1 hour ago,Malay Reserved Land,Cluster House For Sale,,RM 366.39 psf,2562 sqft,,,https://www.propertyguru.com.my/property-listing/semi-d-kluster-3-tgkat-sungai-merab-berdekatan-putrajaya-for-sale-by-liza-khalid-35624610
611,"780,000",New FREEHOLD 22x80 Superlink v Clubhouse @ Bangi,,New FREEHOLD 22x80 Superlink v Clubhouse @ Bangi,2280,4,4,"1km to GMI, 5km to Kajang KWSP, 9km Bdr Br Bangi, Bangi, Selangor",342.11,2-storey Terraced House,"
Description
New Launch, Free All Legal Fee, Cashback, Nice Landscape v Clubhouse
                                    New Launch Freehold 22x80 Superlink @ Bangi

** Developer unit with 1st come 1st Serve ^^ **

√  2STY Superlink:
- Freehold
- LA: 22 x 80
- BU: 2,280sf
- 4 Beds 4Baths
- Free All Legal Fees
- Cashback (Early Bird)
- 24hrs Gated & Guarded
- Exclusive Clubhouse Facilities
- Beautiful Nature Landscape Environment

√ ACCESSIBILITY:
- Good location next to UKM Bangi
- 5km to Kajang Pusat Perhentian Bus (KWSP)
- 7km to Bangi Plus Toll
- 9km to Bdr Kajang / Bdr Baru Bangi
- 18km to Putrajaya
- 36km to KLIA

** Developer Marketing APPLE WONG 012-511 0531 

Pls contact for e-Catalogue, Thank you! **
                                    Read More
",,Strata,,N/A,5 days ago,Freehold,2-storey Terraced House For Sale,,RM 342.11 psf,2280 sqft,,"Children's Playground, Clubhouse, Main entrance, Multi-purpose hall, Playground, 24 hours security, Swimming pool, Wading pool",https://www.propertyguru.com.my/property-listing/new-freehold-22x80-superlink-v-clubhouse-bangi-for-sale-by-apple-wong-36248297
612,"200,000",The Domain (Domain 1) @ NeoCyber,,The Domain (Domain 1) @ NeoCyber,575,1,1,"530 Persiaran Ceria, Cyber 12, Cyberjaya, Selangor",347.83,Service Residence,"
Description
Domain 1, Duplex Neocyber Cyberjaya
                                    For Sale - Domain 1, Duplex Neocyber, Cyberjaya (CH22296)
Asking Price : RM 200K NEGO

Details:-
- Freehold
- 575sqft
- Bedroom : 1
- Bathrooms : 1`
- 24 Hour security
- 1 parking lot

Facilities & Amenities:-
- Swimming pool, gymanasium and playground
- Walking distance to varieties of shops

Accessibility
- MEX, ELITE, LDP, SKVE, PLUS
- KLIA & KLIA 2
                                    Read More
",,Individual,Partially Furnished,N/A,1 day ago,Freehold,Service Residence For Sale,,RM 347.83 psf,575 sqft,-,"Barbeque Area, Business Centre, Covered car park, Clubhouse, Eateries, Gymnasium room, Mini-Mart, Playground, Sauna, 24 hours security, Squash court, Swimming pool, Wading pool",https://www.propertyguru.com.my/property-listing/the-domain-domain-1-neocyber-for-sale-by-abdul-rahim-36280707
613,"1,280,000",New FREEHOLD 40x90 Semi-D v Clubhouse @ Bangi,,New FREEHOLD 40x90 Semi-D v Clubhouse @ Bangi,3500,5,6,"Bangi, Selangor",365.71,Semi-Detached House,"
Description
New Launch, Free All Legal Fee, Cashback, Nice Landscape v Clubhouse
                                    New Launch Freehold Semi-D @ Bangi

** Developer unit with 1st come 1st Serve ^^ **

√ 2STY SEMI-D:
- Freehold
- LA: 40' x 82'-96'
- BU: 3,510sf
- 4+1 Beds 5+1 Baths
- Free All Legal Fees
- MOT Subsidy
- VP end of 2024
- 24hrs Gated & Guarded
- Exclusive Clubhouse Facilities
- Beautiful Nature Landscape Environment

√ ACCESSIBILITY:
- Good location next to UKM Bangi
- 5km to Kajang Pusat Perhentian Bus (KWSP)
- 7km to Bangi Plus Toll
- 9km to Bdr Kajang / Bdr Baru Bangi
- 18km to Putrajaya
- 36km to KLIA

** Developer Marketing HEBEE 011-55531154 

Pls contact for e-Brochure, Thank you! **
                                    Read More
",,Strata,,N/A,5 days ago,Freehold,Semi-Detached House For Sale,,RM 365.71 psf,3500 sqft,,"Basketball court, Covered car park, Clubhouse, Gymnasium room, Playground, 24 hours security, Swimming pool",https://www.propertyguru.com.my/property-listing/new-freehold-40x90-semi-d-v-clubhouse-bangi-for-sale-by-hebee-ng-36213308#contact-agent
614,"515,000",Bangi Avenue,,Bangi Avenue,2100,4,4,"Bangi Avenue, Bangi, Selangor",245.24,2-storey Terraced House,"
Description
Slim Negotiable Price, Cheapest In Market
                                    2 Storey Bangi Avenue

DETAILS:
- Freehold
- Intermediate
- 4 bedrooms and 4 bathrooms 
- 2 car parks
- Land Area : 20 x70 / 1,400 sqft
- Built-Up: 2,100 sqft (Approx)

FACILITIES:
- Playground
- Gated and guarded with access card system

PRICE :
- RM 515,000 (SLIM NEGO)
- Bank Loan & Lawyer Can Be Arranged

BOOK A VIEWING APPOINTMENT TODAY:
:Intan Norliz [Ren 41666]
:011-11297433
:wasap.irealty.my/Intan
:IQI REALTY SDN BHD
                                    Read More
",,Individual,,N/A,5 days ago,Freehold,2-storey Terraced House For Sale,,RM 245.24 psf,2100 sqft,,"Playground, 24 hours security",https://www.propertyguru.com.my/property-listing/bangi-avenue-for-sale-by-intan-norliz-36290876#contact-agent
615,"3,616,620",Sierramas,,Sierramas,8611,,,"Jalan Cempaka Hutan, Sierra Mas, Sungai Buloh, Selangor",420.00,Residential Land,"
Description
Bungalow Land Sierramas
                                    Sierramas is an exclusive residential area in Sungai Buloh and it is a neighbour to the likes of Valencia and Sierramas West. Being one of the most exclusive residential areas in the Klang Valley, Sierramas is known to have very tight security enforcement and it was nominated by the Malaysian branch of the International Real Estate Federation in 2002 to be the best residential project.
                                    Read More
",,Individual,,,11 hours ago,Freehold,Residential Land For Sale,,,,,,https://www.propertyguru.com.my/property-listing/sierramas-for-sale-by-madhavan-nambiar-36203903
616,"300,000",Mossaz @ Empire City,,Mossaz @ Empire City,314,Studio,1,"8 Jalan Damansara PJU, Damansara Perdana, Damansara, Selangor",955.41,Studio,"
Description
Best Airbnb / Short Term Rental in PJ, Completed Soon, European Style
                                    Mossaz @ Empire City For Sale

- Perfect Airbnb/Small Office Choices within Damansara area
- One of the very rare option for Fully Commercial Property
- Luxury Built Material
- Mature and Popular Area
- Award Winning Developer & Good Workmanship
- Studio or 2 Bedrooms
- 314 sqft - 494 sqft
- Partially furnished
- Sky facilities
- Completion Q3, 2023

Accessibility:
- 5 mins drive to 1 Utama, Ikea Damansara, The Curve, Desa Park City
- 5 mins drive to Bandar Utama MRT Station
- Direct access to 3 major highway - LDP, PENCANA Link & DASH Highway

Kindly Call Vincent 017-754 4163 
 for details
                                    Read More
",EXSIM Development Sdn Bhd,Strata,,N/A,4 days ago,Leasehold,Studio For Sale,,RM 955.41 psf,314 sqft,1117,"Air-Conditioning, Car Park, Children's Playground, 24 hours security",https://www.propertyguru.com.my/property-listing/mossaz-empire-city-for-sale-by-vincent-chiam-36141935
617,"1,850,000",Kemuning Residence Taman Kemuning Utama,,Kemuning Residence Taman Kemuning Utama,3200,6,7,"Kota Kemuning, Shah Alam, Selangor",578.12,Bungalow House,"
Description
Renovated: 3 storey bungalow Taman Kemuning Utama Shah Alam
                                    3 storey Bungalow Taman Kemuning Utama Shah Alam

====================
ASKING PRICE RM1.85M 
====================

PROPERTY DETAILS:

~ 3 Storey garden Bungalow
~ Built up area : 3829 sqft
-~Land area : 40 x 80  (3200 sqft )
~ 6 bedroom, 7 bathrooms & 3 living rooms
~ A balcony on the top floor 
~ Leasehold (Remaining 86 yrs est)/ Bumi / Individual Title
~ SPA dated Nov 2009
~ Extended open air wet kitchen concept 
~ 1st & floor with new & high quality laminated flooring
~ Every room facing view 
~ Kitchen Cabinet, Wardrobe, Plaster ceiling  & decorative wall nicely done

Ctct us for more info
                                    Read More
",,Individual,,N/A,4 days ago,Leasehold,Bungalow House For Sale,,RM 578.12 psf,3829 sqft,,,https://www.propertyguru.com.my/property-listing/kemuning-residence-taman-kemuning-utama-for-sale-by-azira-ahmad-36359928
618,"486,000",Utropolis Suites 2,,Utropolis Suites 2,1162,3,2,"Persiaran Kerjaya Off Jalan Kontraktor U1/14, Glenmarie, Shah Alam, Selangor",418.24,Service Residence,"
Description
Bank lelong below market price
                                    BANK LELONG 
Property Type :  Freehold Utropolis Suites 2 Apartment, Corner Lot [7 min to AEON Mall Shah Alam; 8 min away from Batu Tiga KTM Station]
Auction Date :  9 Dec 2022
Auction price :  RM486,000
Built up :  1162 sq ft 
Property Address :  Unit No. D-8-2, Utropolis Suites 2, Jalan Kontraktor U1/14, Section U1, 40150 Shah Alam, Selangor

BEST BUY BELOW MARKET VALUE PROPERTY TODAY!!
FOR INVESTMENT / OWN-STAY

Registration Is Free - Prospective buyers who wish to bid for the auction
property.
Please Call / SMS / Whatsapp to Gary Chow @ 012 3779633 
 or 011-3333 4918 

                                    Read More
",Paramount Property,Master,Partially Furnished,N/A,3 hours ago,Freehold,Service Residence For Sale,,RM 418.24 psf,1162 sqft,-,"Covered car park, Game room, Gymnasium room, Launderette, Landscaped Garden, Lounge, Multi-purpose hall, Pool Deck, Playground, Reading Room, 24 hours security, Swimming pool, Wading pool",https://www.propertyguru.com.my/property-listing/utropolis-suites-2-for-sale-by-gary-chow-36366352#contact-agent
619,"751,025",Panorama Residences,,Panorama Residences,928,2,2,"SS7/15 Petaling Jaya, Kelana Jaya, Petaling Jaya, Selangor",809.29,Condominium,"
Description
Golf & Lake View! Kelana Jaya! Freehold! Ready in Q4 2022!
                                    **Ready by Q4, 2022**
*FREEHOLD
*Beautiful view of Subang Golf Club, Glenmarie Golf Club & Saujana Golf Club, Kelana Jaya Lake & Park.
*Accessible to Federal Highway, LDP, NKVE, KESAS, NPE.
*3 min covered walkway to Glenmarie LRT Station & upcoming LRT3 Station
*Spacious layout with practical space planning to have bigger living & dining areas
*Wet & Dry Kitchens, fitted with kitchen cabinet and Hood & Hob
*Air-cons in all bedrooms & living hall
*Water Heater in all bathrooms
*2 car park lots side by side
*22,000sqf Community Park lifestyle facilities
                                    Read More
",Millenium Creation Sdn Bhd ( A wholly owned subsidiary of LLC Properties Sdn Bhd),Strata,Partially Furnished,"January, 2022",12 hours ago,Freehold,Condominium For Sale,,RM 809.29 psf,928 sqft,478,"Air-Conditioning, Balcony, City View, Cooker Hob/Hood, Corner Unit, High Floor, Lake View, Low Floor, Swimming Pool View, Water Heater, Perimeter Fencing, Gymnasium room, Jacuzzi, Main entrance, Multi-purpose hall, Playground, Reflexology Path, 24 hours security, Swimming pool",https://www.propertyguru.com.my/property-listing/panorama-residences-for-sale-by-james-law-35430663
620,"560,000",Rumah Teres Double Story Taman Berjaya Park,,Rumah Teres Double Story Taman Berjaya Park,1700,4,3,"Kota Kemuning, Shah Alam, Selangor",329.41,2-storey Terraced House,"
Description
Nice Place With Near By Highway, Hospital and Shopping Mall
                                    House Landed For SALE....
Detail of Property:

1. Address Property :   Berjaya Park, Shah Alam
2.Type of Property : Terrace 2 Storey
3. Property Condition : (PartiallyFurnished)
•Shoes Cabinet
•Study/Office Cabinet 1
•TV Cabinet for Living  Room 
•3 Safety door

4. Bedrooms & Bathrooms : 4 Bedrooms 3 Bathrooms
                                    Read More
",,Individual,Partially Furnished,N/A,13 hours ago,Freehold,2-storey Terraced House For Sale,,RM 329.41 psf,1700 sqft,,"Air-Conditioning, Dining Room Furniture, Kitchen Utensils, Living Room Furniture, Covered car park",https://www.propertyguru.com.my/property-listing/rumah-teres-double-story-taman-berjaya-park-for-sale-by-ak-khairuddin-36240187#contact-agent
621,"199,000",Pangsapuri Seri Palma,,Pangsapuri Seri Palma,786,3,2,"- Jalan Nagasari 36/1, Desa Latania, Shah Alam, Shah Alam, Selangor",253.18,Apartment,"
Description
Full loan Rm1000 Kitchen Cabinet Table top Car park 1 sebelah padang
                                    PANGSAPURI SERI PALMA DESA LATANIA 100% Full Loan

PANGSAPURI SERI PALMA, DESA LATANIA, 
**BUMI DAN NON BUMI BOLEH BELI **
LOKASI SANGAT BAGUS, RUMAH BESAR, 1 CAR PARK, GATED GUARDED
JALAN KEBUN, DESA LATANIA
DEKAT MC DONALDS JALAN KEBUN, BELAKANG AL AQSA CARPETS, MR DIY JALAN KEBUN

CLEAN AND GOOD CONDITION!!
3 BEDROOM + 2 BATHROOM
786 SQ FEET
1 DEDICATED CAR PARK
GATED GUARDED
FULL LOAN
DEPOSIT RM1000
FRONT GATE GRILL PROVIDED
FREEHOLD UNIT

100% FULL LOAN - FIRST HOUSE
FOC STAMP DUTY
RM1,000 DEPOSIT ONLY 
GOOD VALUE!!
---------------------------------------------------------------------------------------------------
$$$ Selling RM199k Only $$$!!
----------------------------------------------------------------------------------------------------
Deposit RM1000
Loan 100%.
Strong Banker & Lawyer  

STRATEGIC LOCATION NEAR TO MC DONALDS, AL AQSA CARPETS, MR DIY JALAN KEBUN.
Nak pergi AEON, TESCO, GIANT, GM Klang, Mac’D, KFC, Hospital Manipal/Pantai/Kerajaaan semua DEKAT.
--------------------------------------------------------------------------
Kindly contact / Whatsapp / SMS :
Jason Lim (The Roof Realty) -  0122822188 

REN 40424
www.wasap.my/60122822188
www.wasap.my/60122822188
www.wasap.my/60122822188
--------------------------------------------------------------------------
The Roof Realty Sdn Bhd (E1605)
                                    Read More
",,Strata,Unfurnished,N/A,5 days ago,Freehold,Apartment For Sale,,RM 253.18 psf,786 sqft,-,"Covered car park, Playground, 24 hours security",https://www.propertyguru.com.my/property-listing/pangsapuri-seri-palma-for-sale-by-jason-lim-35477753
622,"595,000",Taman Bukit Subang Shah Alam,,Taman Bukit Subang Shah Alam,1500,4,3,"Taman Bukit Subang, 40160 Shah Alam, Selangor, Bukit Subang, Shah Alam, Selangor",396.67,2-storey Terraced House,"
Description
Next to denai alam freehold, renovated & well maintained
                                    DOUBLE STOREY TERRACE HOUSE, TAMAN BUKIT SUBANG, SHAH ALAM 

ASKING PRICE: RM595,000 

PROPERTY DETAILS: 
 FREEHOLD/ Non Bumi 
 Land Area: 1400 sqft (20x70) 
 4 Rooms | 3 Bathrooms 
 Fully Tiles & Renovated 
 Kitchen Extended 
 Auto-Gate with Security Door 
 Store Room (Outside & Inside) 
 Facing Corner lot 
 Well Maintained unit 
 Gated & Guarded 

Furnished: 
 Dining Table with 6 chairs 
 Aircond 
 Water Heater 
 Kitchen Cabinets with hood and hob 


Hana Wahid | REN20104
www.wasap.my/60172376375
Landsworth Properties Sdn Bhd
.
CoEynoLW
                                    Read More
",,Individual,Partially Furnished,N/A,1 day ago,Freehold,2-storey Terraced House For Sale,,RM 396.67 psf,1500 sqft,,,https://www.propertyguru.com.my/property-listing/taman-bukit-subang-shah-alam-for-sale-by-hana-wahid-36323298
623,"800,000",Sungai Besi Indah,,Sungai Besi Indah,2000,5,3,"Jalan SB Indah, Seri Kembangan, Selangor",400.00,2-storey Terraced House,"
Description
Taman Sungai Besi Indah Terrace House For Sale
                                    2 STOREY TERRACE HOUSE 
TAMAN SUNGAI BESI INDAH, SERI KEMBANGAN

· Land Size : 20’ x 70’
· Build Up Area : 2,000 Sq.Ft
· 4+1 Bedrooms + 3 Bathrooms
· Fully Renovated & Extended
· Fully Furnished
· Facing North East
· Leasehold

· Selling Only RM 800k !!!
· Selling Only RM 800k !!!
· Selling Only RM 800k !!!

* Don't Miss Out!!! Call Me Today to Book A Viewing
WhatsApp : https://wa.link/ro31cf
WhatsApp : https://wa.link/ro31cf
WhatsApp : https://wa.link/ro31cf
========================================
Call Lucky Wong for viewing(REN55880) +6018-212 2000 

========================================

欢迎业主委托产业出租买卖
免费提供产业估价以及广告宣传
提供专业银行贷款/律师楼买卖合同
欢迎委托我们帮你解决买、卖、租的一切问题
Welcome owners to entrust property rental and sale
Free property valuation and advertising
Provide professional bank loan/lawyer building sales contract
Welcome to entrust us to help you solve all the problems of buying, selling and renting

#LuckyWong #PropNexCHERAS #PropNexMalaysia
#WantToBuy #WantToSell #PropertyForSale 
#PropertyManagement #PropertyInvestor #ShoplotForRent
#ShopLotForSale #MahkotaCheras #SgLong #SungaiLong 	
#Cheras #Kajang #Balakong #Serdang #KL #KualaLumpur 
#Warehouse #WarehouseSale #WarehouseManagement
#Factory #FactoryPrice #FactoryDirect #FACTORYWORKER
#PortKlang #Puchong #Bukit Puchong #PuchongUtama
#Kinrara #MerantiJayaIndustrialPark #BandarTeknologiKajang
#Semenyih #FactoryForSale #FactoryForRent
                                    Read More
",,,Fully Furnished,N/A,3 days ago,Leasehold,2-storey Terraced House For Sale,,RM 400.00 psf,2000 sqft,,"Air-Conditioning, Audio System, Balcony, Bed, Cooker Hob/Hood, Dining Room Furniture, Fridge, Kitchen Utensils, Living Room Furniture, Renovated, Television, Washing Machine, Water Heater",https://www.propertyguru.com.my/property-listing/sungai-besi-indah-for-sale-by-happy-wong-35679198#contact-agent
624,"1,689,900",15 mins to USJ - New 0 DP Luxury Semi D [Completed Move In],,15 mins to USJ - New 0 DP Luxury Semi D [Completed Move In],4900,6,9,"15 mins to USJ, Bank McDonald's all nearby, USJ, Subang Jaya, Selangor",344.88,Semi-Detached House,"
Description
0 downpayment brand new semi d, free legal fee mco promotion
                                    [Ready Move In] Newly Completed Luxury Home
~ 3 storey Semi-D/Bungalow @15 mins to USJ
#Cashback up to 200k 
#Free 15 mth installment & 0 dpayment
#Free Legal Fee

Property type:
3 storey Semi-D and Mega Bungalow
40x80 / 40x90 ; 60x85 / 80x60

# Completed / non completed available
# Min. 7 rooms + 9 bathroom
# 3x Living Hall 
# Private sky balcony (Can BBQ / Sky Lounge)
# High ceiling up to 16ft 
# Full scale window - natural daylight

Pm for post-mco OFFER !!!
========================
*0 Downpayment
*Cashback up to 200k 
*Free 15 Mth Installment
*Free Legal Fees
*Free 12 month Maintenance Fee
*Free Gift available 

Key Features:-
• Private Clubhouse w/ swimming pool
• Gated & Guarded - Private Luxury residence
• Perimeter fencing & CCTV - Top security 
• Home Alarm System & Intercom

Accessibility:-
@ LDP, KESAS, LKSA, WCE, ELITE highway
- 3 mins to Kota Kemuning Main Town
- 3 mins to KK McDonald's
- 5 mins to KESAS exit / LKSA
- 15 mins to Subang / USJ
- 20 mins to Puchong Jaya/ Petaling Jaya
- 23 mins to Bukit Jalil, KL
==============================
Viewing ONLY by appointment:-
Nickchin @ 012-6642834 
 (Developer unit)
==============================
                                    Read More
",,,Partially Furnished,2021,5 days ago,,Semi-Detached House For Sale,,RM 344.88 psf,4900 sqft,,,https://www.propertyguru.com.my/property-listing/15-mins-to-usj-new-0-dp-luxury-semi-d-completed-move-in-for-sale-by-nick-ch-33390064#contact-agent
625,"500,000",Astoria Ampang,,Astoria Ampang,660,2,2,"Jalan Bemban, Ampang, Selangor",757.58,Service Residence,"
Description
Ampang Ampang Ampang Ampang Ampang Ampang Ampang KL KL KL KL KL
                                    LOCATED AT THE HEART Of KUALA LUMPUR CITY
BELOW MARKET !!!!
HIGH ROI (8%)

TIER 1 OF KL CITY
Only from RM4xx K - RM 1M+
2 - 4Rooms available
565sf - 1,510sf

https://wa.link/a0ga63

Recreation Park In The City, With 5 Star Lifestyle Living Features
150,000sqft Premium Facilities Landscape Podium

-Sky Lounge/ Recreation Lounge/ Hydro Lounge/ Eco Lounge
-50m Lap Pool
-Gym Pavilion/ Boxing Ring/ Yoga Studio
-Skypod/ Amphitheatre/ Water Features/ Aqua Kitchen
-Sky Bridge Viewing Deck/ Panorama Unblock View!!!

High Demand High Rental Yield

https://wa.link/a0ga63
                                    Read More
",Xtreme Meridian Sdn. Bhd.,Strata,Partially Furnished,"September, 2020",4 hours ago,Leasehold,Service Residence For Sale,,RM 757.58 psf,660 sqft,1012,"Air-Conditioning, Balcony, City View, Cooker Hob/Hood, Private Garden, Water Heater, Amphitheatre, Barbeque Area, Covered car park, Game room, Gymnasium room, Jacuzzi, Jogging track, Landscaped Garden, Playground, 24 hours security, Swimming pool, Tennis courts, Wading pool, Aeroyoga Room",https://www.propertyguru.com.my/property-listing/astoria-ampang-for-sale-by-kh-tan-36081689#contact-agent
626,"1,200,000",3 Storey Superlink @ Puchong (READY TO MOVE IN),,3 Storey Superlink @ Puchong (READY TO MOVE IN),3805,6,6,"Jalan Puchong, Bukit Puchong, Puchong, Selangor",315.37,3-storey Terraced House,"
Description
3 storey superlink house @ Puchong (10 minutes to Tesco Bukit Puchong)
                                    3 Storey Superlink @ Puchong  
- Individual Title l
- Ready Moved-In 2022

House types : 
5+1 Bedrooms + 6 Bathrooms (3master rooms)

20 x 75 
Buildup 3,481sf
Net from Rm 1,260,500

22 x 75
Buildup 3,805sf
Net from Rm 1,353,500

- Back yard landscape garden 
- Gated & Guarded Community with intercom 
- 20 feets Linear Park (Backyard)
- Dual Master Bedroom concept
- Landscaped Linear Garden
- 24 Hours Gated and Guarded
- Maintenance Fee only Rm100-150/month
- Double Volume Natural Light
- Double Volume Green Scenery

@ 5 Minutes to MEX , NKVE & ELITE Highway
@ 10 minutes to Tesco Bukit Puchong
                                    Read More
",,Individual,Unfurnished,2022,6 days ago,Leasehold,3-storey Terraced House For Sale,,RM 315.37 psf,3805 sqft,,"Balcony, Water Heater",https://www.propertyguru.com.my/property-listing/3-storey-superlink-puchong-ready-to-move-in-for-sale-by-lim-jee-hone-36192014#contact-agent
